1,204,145
2,233,129
3,158,103
4,263,82
5,201,74
6,145,108
7,172,57
8,208,41
9,191,11
10,348,23
11,121,54
12,184,1
13,299,2
14,62,5
15,91,78
16,75,80
17,327,4
18,1,205
19,32,102
20,155,2
21,172,1890
22,56,182
23,150,165
24,184,1
25,299,2
26,62,5
27,91,78
28,75,80
29,327,4
30,212,13
1,2
1,3
1,4
2,5
2,6
2,7
3,8
3,9
3,10
4,11
4,12
4,13
5,14
5,15
5,16
6,17
6,18
6,19
7,20
7,21
7,22
8,23
8,24
8,25
9,26
9,27
9,28
10,29
10,30
10,31
11,30
11,29
11,28
12,27
12,26
12,25
13,24
13,23
13,22
14,21
14,20
14,19
15,18
15,17
15,16
16,15
16,14
16,13
17,12
17,11
17,10
18,9
18,8
18,7
19,6
19,5
19,4
20,3
20,2
20,1
